"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Pasig, Philippines",Philippines,Male,College degree,"Datacamp, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Professional,Work city different from residence,BGC,"a.100,001 to 125,000",Full-time,Hybrid,Support,Software Engineer,2 to 3,JMS,Python,DynamoDB,"Airflow, Daasity",Power BI,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure",,"Excel, OneDrive, MS Teams","Python, SQL","Chatgpt, Copilot",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AIM-Master of Science in Data Science, Data Analytics Philippines, Datasense Philippines, Power Apps Pilipinas Community","Career advancement, Continued learning, Upskill / Skill acquisition",not applicable,NONE,LinkedIn,Multinational employer,44
"Manila, Philippines",Philippines,Male,,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Remote work,"c.250,001 and above",Full-time,Mostly work from home/ fully remote,Customer Support and Data Coordinator,"Data Analyst, Data Coordinator", _,Don't know,,Don't know,"Airflow, Dagster",Don't know,Don't know,Don't know,Don't know,"Amazon Web Services (AWS), Microsoft Azure",,"Google sheets, Excel, OneDrive, MS Teams, Slack","DAX (Power BI), Python",Chatgpt,none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Datasense Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Power BI Philippines UG, Project SPARTA, Python Philippines",Network,"Answer surveys, Mentor, Co-training/ Training",/,My network  - people I know,Local employer,28
Laguna,Philippines,Male,Other - specify,"Coursera, Datacamp, Kaggle Online course, Udemy, Youtube bootcamp","IT, BPO, and Business Services",Career shifter,Work city different from residence,Cavite,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Software Engineer,Software Engineer,6 to 10,,Pandas,"AWS Redshift, Big Query, Snowflake",Airflow,Power BI,Don't know,Don't know,Don't know,Amazon Web Services (AWS),Don't know,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack","Appscript (Google), DAX (Power BI), Javascript, M language (Power Query), Python, SQL, VBA","Chatgpt, Copilot, Gemini",Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",AIM-Master of Science in Data Science,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",Webinars,"LinkedIn, Indeed, Upwork, Fiverr, My network  - people I know",Local employer,27
"Muntinlupa, Philippines",Philippines,Male,College degree,"LinkedIn Learning, Youtube bootcamp",Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,.,.,,NONE,.,.,.,.,not applicable,_,.,.,-,NONE,/, _,None,NONE,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord", ,,Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Data and Analytics Manila, Data Science Philippines Discussion Group (Moderated), Philippine Data Scientists Community - eScience","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Lead a study group, Volunteer for group initiatives","I think goup chats may help but other than, it's fine.",None,Local employer,29
"Quezon City, Philippines",Philippines,Male,Master's degree,"Coursera, Datacamp, edX, Freecodecamp, LinkedIn Learning, SoloLearn, Youtube bootcamp",LGU,Career shifter,Work city different from residence,Quezon City,"15,001 to 25,000",Full-time,100% onsite,Admin huhu,Data Analyst,1 - Just me,,,"Don't know, None","Don't know, None",,,.,,,not applicable,"Google sheets, Google Drive, Zoom, Discord, ActiveCampaign, systeme.io, HubSpot, Notion","Javascript, Python, SQL, Typescript",Chatgpt,-,laptop,"No, I just found out now.","No, I just browsed through.",Data Science Philippines,Decision to shift,"Answer surveys, Lead a study group, Co-training/ Training, Volunteer for group initiatives",Utilization of project management software like Slack and Trello.,Indeed,International Client,20
"Quezon City, Philippines",Philippines,Female,Secondary school student,"Cisco, Codecademy, Coursera, Datacamp, edX, Git Hub Learning Lab, Google Analytics, HackerRank, Kaggle Online course, Khan Academy, LeetCode, LinkedIn Learning, Skillshare, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,NONE,NONE,,/,NONE,NONE,not applicable, ,NONE,na, ,none, _, _,NONE,None,. ,na,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Discord",Python,"Chatgpt, Claude, Copilot, Perplexity, Github copilot",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines, DataScience.PH, Datasense Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Joint initiative with other groups",,. ,none,21
"Laguna, Philippines",Philippines,Female,College degree,AWS Cloud Certification,Government research agency,Career shifter,Work city same as residence,Quezon City,"65,001 to 75,000",Full-time,Hybrid,Data Analyst,Data Analyst,6 to 10,,Pandas,Snowflake,Airflow,,,Elementary,"Don't know, None",. ,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams",Excel only in work. Python and SQL is for study.,,not applicable,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Co-training/ Training, Volunteer for group initiatives",not applicable,Upwork,Local employer,27
"Caloocan, Philippines",Philippines,Male,College degree,Datacamp,Not working,Student/ New grad/ Career Break,NONE, _,, _,na, ,none,not applicable,None,NONE,-,/,none,/,.,. , _,. ,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, R",Chatgpt,Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Programmers,Developers, PyData Philippines, Python Philippines, She loves data, Software DevOps & Data","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Mentor, Co-training/ Training",none,not applicable,none,22
"ILOCOS NORTE, PHILIPPINES",Philippines,Male,College degree,"Cisco, Udemy",Not working,Student/ New grad/ Career Break,_, ,,.,None, , ,none,NONE,none, _,na,_,_,/,none,none,. ,"Google sheets, Dropbox, Google Drive, OneDrive, Asana, Zoom, MS Teams, Google Meet, Slack, Discord",.,Chatgpt,na,laptop,"No, I just found out now.",/,"Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines","Career advancement, Decision to shift, Upskill / Skill acquisition",Answer surveys,None,None,not applicable,42
"Pangasinan, Philippines",Philippines,Prefer not to say,College degree,"Kaggle Online course, W3Schools",Not working,Career shifter,Work city same as residence,Baguio City,"15,001 to 25,000",Full-time,100% onsite,Aspiring DA,"Data Analyst, Applplication Specialist/QA/Technical Support",4 to 5,Don't know,Don't know,_,/,. ,,na,,,-,"Google sheets, Excel, Google Drive, Discord","Python, R, SQL","No, I do not use AI currently",No,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Python Philippines",Not a member. Not interested to join thr FB group,"Answer surveys, Resource for specific topic",NONE,My network  - people I know,,27
"San Pedro, Laguna, Philippines",Philippines,Female,College degree,"Freecodecamp, Khan Academy","IT, BPO, and Business Services",Student/ New grad/ Career Break,., ,,. , _,. ,na,/, ,none,.,not applicable,NONE,NONE,not applicable,. ,.,.,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Python, R","Chatgpt, Gemini",-,laptop,"No, I just found out now.","Yes, I have used at least one resource.","Data Analytics Philippines, Data and Analytics Manila, Data Science Philippines",.,"Answer surveys, Connect with sponsors, Volunteer for group initiatives",Not right now. Honestly think DEP is doing a lot of effort communicating stuff with everyone.,not applicable,Local employer,23
"Benguet, Philippines ",Philippines,Female,College degree,"Coursera, Datacamp",Government,Student/ New grad/ Career Break, ,.,,_,-, _,na,-,NONE,. ,_, _,_,_, ,_,None,.,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), Stata",Chatgpt,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Datasense Philippines,"Career advancement, Continued learning, Network","Answer surveys, Volunteer for group initiatives, Volunteer to speak in events",/,.,. ,22
"Cebu City, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Professional,Work city different from residence,Makati,"55,001 to 65,000",Full-time,Hybrid,Data Engineer,"Analytics Engineer, Developer",2 to 3,,,Databricks,,Power BI,,Internal Pyspark Library,"Don't know, None",,,"Excel, MS Teams",VBA,"No, I do not use AI currently", ,laptop,"No, I just found out now.","No, I just browsed through.","Data Science Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors", _,LinkedIn,Multinational employer,31
"Pasig, Philippines",Philippines,Female,Secondary school student,"Google Cloudskills Boost, Google Developers, LinkedIn Learning, MicrosoftLearn, Real Python, Skillshare, Youtube bootcamp",Own Business/ Consultancy/Freelance,Freelance,Work city different from residence,USA,,Freelance,online,Reporting,Management,1 - Just me,"Don't know, None","Don't know, None","Don't know, None",,"Don't know, None",,N.A,"Don't know, None",Google Workspace,"Don't know, None","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Monday.com, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Appscript (Google), Javascript, Python, Typescript","Chatgpt, Copilot, Amazon Q, Github copilot",Hex Workspaces,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",My suggestion is to utilize the benefits of AI and tech ,Upwork,Multinational employer,30
"Quezon City, Philippines",Philippines,Male,College degree,Datacamp,Education,Starting to learn,Work city same as residence,Valenzuela City,"35,001 to 45,000",Full-time,"Hybrid - Priority at Home, but would come to site if needed",Business Analyst,Academic, ,,,,Databricks Workflows,,Mixpanel,Internal Pyspark Library,N.A,/,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet",Python,Chatgpt,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AWS AI/ML, DEVCON Community Group, DEVCON Philippines",Upskill / Skill acquisition,"Answer surveys, Coordinate during events",None,My network  - people I know, _,24
"Gen. Trias, Cavite",Philippines,Male,Other - specify,"AWS Cloud Certification, Cisco, Codecademy, Coursera, Datacamp, edX, Git Hub Learning Lab, Google Analytics, Google Cloudskills Boost, Google Developers, IBM Skills Gateway, LeetCode, MicrosoftLearn, Power Up Program, Skillshare, SoloLearn",Not working,Student/ New grad/ Career Break,_,NONE,,NONE,/,_, ,., _,_, ,NONE,_, ,.,None,-,None,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Slack, Discord","Appscript (Google), DAX (Power BI), Javascript, Python, R, SQL, Typescript","Chatgpt, Github copilot",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data and Analytics Manila, Data Science Philippines Discussion Group (Moderated), Datasense Philippines, Python Philippines","Continued learning, Upskill / Skill acquisition, Network",,/, ,Local employer,21
"Manila, Philippines",Philippines,Female,Master's degree,Not currently using any digital tools for learning,Non profit,Professional,Work city same as residence,Baguio City,"35,001 to 45,000",Full-time,100% onsite,Electrical Engineer,Planning Engineer,1 - Just me,Don't know,Don't know,,,Power BI,Don't know,/,,,,"Google sheets, Excel, Google Drive, Trello, Zoom, Google Meet","Python, SQL","Chatgpt, Claude, Copilot",-,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Network",Answer surveys,. ,My network  - people I know,.,31
Bulacan,Philippines,Male,College degree,"Coursera, Datacamp, Git Hub Learning Lab, LeetCode, LinkedIn Learning, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,.,.,,not applicable,not applicable, _,NONE,NONE, _,none, _,none,/,None,-,not applicable,-,none,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Slack, Discord","Python, SQL","Chatgpt, Gemini, Perplexity, Github copilot, Datalab","Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training",-,not applicable,Multinational employer,27
"Marikina City, Philippines",Philippines,Prefer not to say,College degree,"Cisco, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,_,None,,. ,Mostly work from home/ fully remote,_,na,. ,not applicable, _,None,_,na,NONE,_,none,not applicable,.,"Google sheets, Excel, OneDrive, MS Teams, Google Meet","Javascript, Python, SQL",Chatgpt,/,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines, DataScience.PH",Career advancement,"Answer surveys, Regularly post content, Co-training/ Training",.,none,Local employer,20
